1,总之就是非常可爱,1327.6万,36.5万,226.7万,更新至第2话
2,成神之日,380.0万,3.4万,104.9万,更新至第1话
3,咒术回战,604.7万,4.0万,125.6万,更新至第2话
4,请问您今天要来点兔子吗？BLOOM,187.2万,2.9万,226.8万,更新至第1话
5,樱与抱月,159.5万,1.3万,49.3万,更新至第1话
6,魔女之旅,395.1万,6.5万,97.2万,更新至第2话
7,全员恶玉,202.1万,1.9万,64.5万,更新至第1话
8,你与我最后的战场，亦或是世界起始的圣战,502.2万,3.9万,107.1万,更新至第1话
9,半妖的夜叉姬,429.5万,9.3万,183.1万,更新至第2话
10,我立于百万生命之上,587.1万,6.0万,104.7万,更新至第2话
11,在地下城寻求邂逅是否搞错了什么 第三季,428.2万,3.6万,228.2万,更新至第2话
12,Re：从零开始的异世界生活 第二季,9405.0万,168.4万,749.5万,全13话
13,突击莉莉 BOUQUET,231.5万,3.4万,49.5万,更新至第2话
14,炎炎消防队 贰之章,2771.1万,23.8万,246.2万,更新至第15话
15,路人女主的养成方法 Fine,596.9万,22.4万,406.9万,全1话
16,熊熊勇闯异世界,259.4万,2.7万,65.0万,更新至第1话
17,鬼灭之刃（中配）,1365.8万,11.3万,803.1万,更新至第6话
18,在魔王城说晚安,312.1万,2.8万,100.8万,更新至第1话
19,被神捡到的男人,359.7万,4.1万,80.5万,更新至第2话
20,催眠麦克风-Division Rap Battle- Rhyme Anima,167.8万,5.8万,38.2万,更新至第2话
21,名侦探柯南,1.3亿,405.8万,236.1万,更新至第1041话
22,无能力者娜娜,276.6万,1.7万,65.7万,更新至第2话
23,我的青春恋爱物语果然有问题。完,5736.5万,108.1万,506.6万,全12话
24,约战狂三外传：虚或实篇,588.6万,5.3万,423.2万,更新至第1话
25,某科学的超电磁炮T,1.6亿,242.3万,574.3万,全25话
26,Love Live！虹D学园学园偶像同好会,62.8万,1.9万,13.8万,更新至第2话
27,战翼的希格德莉法,144.1万,2.4万,31.5万,更新至第2话
28,王之逆袭：意志的继承者,138.7万,7999,32.7万,更新至第2话
29,One Room 第三季,163.9万,1.7万,168.0万,更新至第1话
30,鬼灭之刃,5.3亿,828.7万,879.9万,全26话
31,体操武士,42.9万,2465,18.2万,更新至第1话
32,博人传 火影忍者新时代,2.0亿,396.6万,201.4万,更新至第169话
33,池袋西口公园,100.9万,1.1万,34.9万,更新至第1话
34,龙与魔女/BURN THE WITCH,312.2万,2.8万,59.3万,全3话
35,攀岩少女！,102.1万,1.0万,24.3万,更新至第2话
36,魔物娘的医生,2725.3万,33.3万,137.3万,全12话
37,宇崎学妹想要玩！,5296.8万,91.6万,215.5万,全12话
38,小碧蓝幻想！,25.8万,842,3.6万,更新至第1话
39,黑色四叶草,1.5亿,187.7万,185.5万,更新至第146话
40,忧国的莫里亚蒂,70.4万,1485,44.4万,更新至第1话
41,勇者斗恶龙 达伊的大冒险,49.5万,4420,13.2万,更新至第2话
42,小林家的龙女仆,2.3亿,526.5万,620.9万,全14话
43,JOJO的奇妙冒险 黄金之风,3.2亿,365.5万,386.6万,全39话
44,刀剑神域 爱丽丝篇 异界战争 -终章-,7780.4万,149.5万,619.1万,全12话
45,BanG Dream! 少女乐团派对！☆PICO～大份～,454.9万,2.2万,10.7万,更新至第23话
46,在地下城寻求邂逅是否搞错了什么 第二季,4098.3万,60.8万,190.2万,全13话
47,OVERLORD Ⅲ,2.9亿,358.5万,478.7万,全13话
48,月歌。THE ANIMATION2,71.6万,1.2万,56.0万,更新至第1话
49,黄金神威 第三季,50.2万,2038,16.1万,更新至第1话
50,没落要塞 / DECA-DENCE,2543.3万,24.6万,145.1万,全12话
